#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2023-09-01,24,16,16,16,21,24,0.4,88,10,1014,75.5,25,16,16,116,176,176,0,4,7.9,météo défavorable,20:33:00,07:07:00,17
2023-09-02,28,16,4,16,23,27,0.1,92,10,1022,31.25,28,16,16,176,116,113,0,6,11.6,météo favorable,20:31:00,07:08:00,17
2023-09-03,30,18,10,18,27,29,0,85,10,1025,5.875,30,16,18,113,113,113,0,6,11.6,météo idéale,20:29:00,07:10:00,18
2023-09-04,30,18,18,18,27,28,0,65,10,1024,0.875,28,16,18,113,113,113,0,6,11.6,météo idéale,20:27:00,07:11:00,20
2023-09-05,34,19,10,19,30,33,0,65,10,1017,21.375,33,14,19,116,113,113,0,6,11.6,météo idéale,20:25:00,07:13:00,20
2023-09-06,33,22,12,22,31,31,0,52,10,1018,1.25,33,14,22,113,113,113,0,7,11.6,météo idéale,20:23:00,07:14:00,23
2023-09-07,33,19,6,19,30,32,0,53,10,1017,0,32,11,19,113,113,113,0,7,11.6,météo idéale,20:21:00,07:15:00,21
2023-09-08,35,23,4,23,33,34,0,49,10,1017,3.125,34,13,23,113,113,113,0,7,11.6,météo idéale,20:19:00,07:17:00,24
2023-09-09,34,23,10,23,32,33,0,57,10,1017,6.125,34,15,23,113,113,113,0,7,11.6,météo idéale,20:17:00,07:18:00,25
2023-09-10,35,23,11,23,32,33,0,48,10,1017,18.5,33,13,23,113,113,116,0,7,11.6,météo idéale,20:15:00,07:20:00,25
2023-09-11,27,21,12,21,26,26,0,62,10,1014,21.25,28,16,21,113,116,116,0,6,11.6,météo favorable,20:13:00,07:21:00,22
2023-09-12,20,18,6,18,19,19,0,87,10,1016,53.375,20,17,18,113,119,122,0,5,9,météo correcte,20:10:00,07:23:00,19
2023-09-13,21,16,11,16,20,21,0,91,10,1021,75.375,24,16,16,119,119,122,0,5,6.4,météo défavorable,20:08:00,07:24:00,17
2023-09-14,25,17,8,17,24,24,0,84,10,1021,37.25,26,14,17,113,116,116,0,6,11.6,météo favorable,20:06:00,07:25:00,19
2023-09-15,28,16,13,16,26,27,0,64,10,1018,16.125,27,12,16,113,113,113,0,6,11.6,météo idéale,20:04:00,07:27:00,17
2023-09-16,27,18,12,18,26,24,0,63,10,1015,17.125,27,14,18,113,113,116,0,6,11.6,météo idéale,20:02:00,07:28:00,19
2023-09-17,28,17,12,17,25,27,0,85,9.875,1013,29.125,28,15,17,119,116,113,0,6,11.6,météo favorable,20:00:00,07:30:00,18
2023-09-18,25,17,23,18,24,24,0.3,84,9.875,1012,42.75,25,17,18,113,113,119,0,5,10.2,météo favorable,19:58:00,07:31:00,19
2023-09-19,22,15,22,15,20,22,0,75,10,1015,47.625,24,12,14,116,116,122,0,5,8.9,météo favorable,19:56:00,07:33:00,15
2023-09-20,25,16,24,16,22,24,0,87,10,1013,49.875,25,14,16,122,119,116,0,6,8.9,météo correcte,19:54:00,07:34:00,17
2023-09-21,20,15,15,17,16,17,3.1,91,8.875,1002,75.75,20,15,16,353,353,113,0,5,7.5,météo défavorable,19:52:00,07:35:00,19
2023-09-22,19,12,19,12,17,17,0,86,10,1008,47,19,10,11,176,113,113,0,4,8.8,météo favorable,19:50:00,07:37:00,13
2023-09-23,18,11,14,11,17,17,0,83,10,1023,37.125,18,9,9,113,176,176,0,4,8.8,météo favorable,19:47:00,07:38:00,11
2023-09-24,22,11,14,12,19,20,0,62,10,1024,9.875,23,5,11,113,113,113,0,5,11.6,météo favorable,19:45:00,07:40:00,12
2023-09-25,24,13,5,14,21,23,0,57,10,1022,14,24,8,14,113,116,113,0,5,11.6,météo favorable,19:43:00,07:41:00,14
2023-09-26,25,16,9,16,23,23,0,52,10,1021,11.125,25,10,16,113,113,113,0,6,11.6,météo idéale,19:41:00,07:43:00,17
2023-09-27,26,17,17,17,24,24,0,65,10,1020,21.625,26,11,17,113,113,116,0,6,11.6,météo idéale,19:39:00,07:44:00,18
2023-09-28,24,16,12,16,21,23,0,80,10,1020,22.5,24,14,16,113,113,116,0,5,11.6,météo idéale,19:37:00,07:45:00,18
2023-09-29,23,15,22,19,22,20,0.1,74,10,1025,51.875,25,15,19,122,176,119,0,5,5.9,météo favorable,19:35:00,07:47:00,20
2023-09-30,22,12,4,12,20,21,0,77,10,1027,5.75,24,9,13,113,113,113,0,5,11.6,météo favorable,19:33:00,07:48:00,13
