DATE,CLOUDCOVER_AVG_PERCENT,SUNHOUR
2021-11-01,41,7
2021-11-02,94,4
2021-11-03,11,9
2021-11-04,48,5
2021-11-05,61,9
2021-11-06,39,9
2021-11-07,57,5
2021-11-08,46,9
2021-11-09,4,9
2021-11-10,0,9
2021-11-11,24,7
2021-11-12,12,9
2021-11-13,84,4
2021-11-14,70,5
2021-11-15,32,9
2021-11-16,58,5
2021-11-17,70,5
2021-11-18,64,3
2021-11-19,80,3
2021-11-20,32,9
2021-11-21,62,3
2021-11-22,15,9
2021-11-23,0,9
2021-11-24,5,9
2021-11-25,65,7
2021-11-26,62,7
2021-11-27,94,3
2021-11-28,57,5
2021-11-29,32,8
2021-11-30,82,3
2023-12-01,45,8
2023-12-02,22,8
2023-12-03,54,1
2023-12-04,91,1
2023-12-05,97,1
2023-12-06,87,1
2023-12-07,68,8
2023-12-08,62,8
2023-12-09,76,1
2023-12-10,66,4
2023-12-11,46,8
2023-12-12,91,1
2023-12-13,90,1
2023-12-14,91,2
2023-12-15,49,8
2023-12-16,17,8
2023-12-17,0,8
2023-12-18,5,8
2023-12-19,64,4
2023-12-20,71,3
2023-12-21,100,1
2023-12-22,93,1
2023-12-23,94,1
2023-12-24,59,2
2023-12-25,95,1
2023-12-26,96,1
2023-12-27,42,7
2023-12-28,61,5
2023-12-29,86,1
2023-12-30,55,5
2023-12-31,81,3
2021-01-01,83,3
2021-01-02,55,9
2021-01-03,71,9
2021-01-04,100,3
2021-01-05,98,3
2021-01-06,97,3
2021-01-07,85,3
2021-01-08,50,5
2021-01-09,23,9
2021-01-10,12,9
2021-01-11,50,5
2021-01-12,100,3
2021-01-13,96,3
2021-01-14,98,3
2021-01-15,52,7
2021-01-16,80,3
2021-01-17,74,7
2021-01-18,60,9
2021-01-19,80,3
2021-01-20,87,5
2021-01-21,82,5
2021-01-22,96,3
2021-01-23,64,3
2021-01-24,42,5
2021-01-25,64,5
2021-01-26,34,9
2021-01-27,98,3
2021-01-28,90,3
2021-01-29,94,4
2021-01-30,89,4
2021-01-31,100,4
2021-07-01,47,14
2021-07-02,18,14
2021-07-03,74,10
2021-07-04,77,10
2021-07-05,82,10
2021-07-06,49,13
2021-07-07,55,11
2021-07-08,68,11
2021-07-09,46,14
2021-07-10,63,12
2021-07-11,34,14
2021-07-12,62,12
2021-07-13,69,11
2021-07-14,82,10
2021-07-15,73,12
2021-07-16,53,12
2021-07-17,64,10
2021-07-18,2,14
2021-07-19,19,14
2021-07-20,2,14
2021-07-21,4,14
2021-07-22,10,14
2021-07-23,39,14
2021-07-24,63,12
2021-07-25,77,10
2021-07-26,60,12
2021-07-27,56,12
2021-07-28,74,10
2021-07-29,14,14
2021-07-30,52,12
2021-07-31,31,14
2021-08-01,47,14
2021-08-02,62,11
2021-08-03,70,10
2021-08-04,61,10
2021-08-05,59,10
2021-08-06,80,10
2021-08-07,54,11
2021-08-08,50,14
2021-08-09,45,12
2021-08-10,60,12
2021-08-11,25,14
2021-08-12,12,14
2021-08-13,8,14
2021-08-14,4,14
2021-08-15,17,14
2021-08-16,50,11
2021-08-17,64,10
2021-08-18,87,9
2021-08-19,75,10
2021-08-20,12,14
2021-08-21,38,13
2021-08-22,59,11
2021-08-23,80,9
2021-08-24,16,14
2021-08-25,9,14
2021-08-26,27,13
2021-08-27,65,12
2021-08-28,72,7
2021-08-29,73,8
2021-08-30,78,8
2021-08-31,32,12
2021-02-01,94,4
2021-02-02,94,4
2021-02-03,94,4
2021-02-04,72,4
2021-02-05,84,4
2021-02-06,99,4
2021-02-07,93,4
2021-02-08,75,7
2021-02-09,87,5
2021-02-10,44,10
2021-02-11,9,10
2021-02-12,36,10
2021-02-13,19,10
2021-02-14,41,7
2021-02-15,55,8
2021-02-16,56,8
2021-02-17,74,7
2021-02-18,84,5
2021-02-19,41,11
2021-02-20,14,11
2021-02-21,16,11
2021-02-22,42,8
2021-02-23,24,11
2021-02-24,6,11
2021-02-25,28,10
2021-02-26,89,6
2021-02-27,3,11
2021-02-28,0,11
2021-12-01,90,3
2021-12-02,68,7
2021-12-03,67,7
2021-12-04,92,3
2021-12-05,80,5
2021-12-06,79,5
2021-12-07,49,8
2021-12-08,59,8
2021-12-09,60,5
2021-12-10,76,5
2021-12-11,53,5
2021-12-12,71,7
2021-12-13,15,8
2021-12-14,13,8
2021-12-15,56,7
2021-12-16,20,7
2021-12-17,3,8
2021-12-18,9,8
2021-12-19,38,7
2021-12-20,42,5
2021-12-21,0,8
2021-12-22,27,7
2021-12-23,26,8
2021-12-24,95,3
2021-12-25,82,5
2021-12-26,94,3
2021-12-27,98,3
2021-12-28,92,3
2021-12-29,100,3
2021-12-30,84,3
2021-12-31,4,9
2021-09-01,7,12
2021-09-02,0,12
2021-09-03,20,12
2021-09-04,63,9
2021-09-05,19,12
2021-09-06,14,12
2021-09-07,2,12
2021-09-08,18,10
2021-09-09,68,9
2021-09-10,76,6
2021-09-11,32,12
2021-09-12,4,12
2021-09-13,6,12
2021-09-14,47,12
2021-09-15,55,8
2021-09-16,10,12
2021-09-17,42,8
2021-09-18,45,9
2021-09-19,52,9
2021-09-20,68,10
2021-09-21,21,10
2021-09-22,4,12
2021-09-23,2,12
2021-09-24,26,10
2021-09-25,20,12
2021-09-26,45,9
2021-09-27,61,9
2021-09-28,24,12
2021-09-29,30,12
2021-09-30,33,12
2021-04-01,4,12
2021-04-02,1,12
2021-04-03,26,10
2021-04-04,1,12
2021-04-05,50,8
2021-04-06,51,8
2021-04-07,27,12
2021-04-08,23,12
2021-04-09,81,7
2021-04-10,100,7
2021-04-11,98,7
2021-04-12,28,9
2021-04-13,42,12
2021-04-14,16,12
2021-04-15,29,12
2021-04-16,56,11
2021-04-17,19,14
2021-04-18,74,10
2021-04-19,71,11
2021-04-20,64,11
2021-04-21,40,14
2021-04-22,5,14
2021-04-23,0,14
2021-04-24,14,14
2021-04-25,10,14
2021-04-26,1,14
2021-04-27,5,14
2021-04-28,19,14
2021-04-29,50,12
2021-04-30,84,9
2021-03-01,0,11
2021-03-02,16,11
2021-03-03,35,11
2021-03-04,79,6
2021-03-05,43,10
2021-03-06,0,11
2021-03-07,0,11
2021-03-08,15,11
2021-03-09,23,11
2021-03-10,72,6
2021-03-11,91,6
2021-03-12,71,6
2021-03-13,89,6
2021-03-14,80,6
2021-03-15,88,6
2021-03-16,73,7
2021-03-17,88,6
2021-03-18,86,6
2021-03-19,57,10
2021-03-20,20,12
2021-03-21,65,8
2021-03-22,30,12
2021-03-23,36,12
2021-03-24,34,10
2021-03-25,69,8
2021-03-26,72,8
2021-03-27,22,12
2021-03-28,24,12
2021-03-29,10,12
2021-03-30,12,12
2021-03-31,5,12
2021-06-01,5,14
2021-06-02,48,12
2021-06-03,71,10
2021-06-04,60,14
2021-06-05,90,10
2021-06-06,25,14
2021-06-07,52,14
2021-06-08,50,12
2021-06-09,34,14
