#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2023-01-01,14,12,21,13,13,12,0,75,10,1020,65.5,14,9,10,116,122,122,0,4,5.1,météo défavorable,17:04:00,08:44:00,13
2023-01-02,11,8,19,11,8,9,6.1,95,7.625,1028,84.75,11,10,5,296,296,176,0,2,3.2,météo défavorable,17:05:00,08:44:00,10
2023-01-03,10,6,15,6,8,9,0,94,9,1030,37.875,10,6,4,116,116,113,0,3,6.9,météo défavorable,17:06:00,08:44:00,7
2023-01-04,12,8,25,9,11,12,0,82,10,1028,90.625,12,10,6,122,122,122,0,4,3.2,météo défavorable,17:07:00,08:44:00,8
2023-01-05,13,12,15,12,13,13,0.1,94,10,1025,97.375,13,11,11,122,122,122,0,3,3.2,météo défavorable,17:09:00,08:43:00,12
2023-01-06,12,11,17,11,12,12,0.2,83,10,1024,76.25,12,10,9,122,176,176,0,4,3.3,météo défavorable,17:10:00,08:43:00,11
2023-01-07,11,7,23,8,9,11,0.2,86,10,1019,52.5,11,7,5,113,116,176,0,3,6.9,météo défavorable,17:11:00,08:43:00,9
2023-01-08,10,8,17,9,10,9,1.5,86,7.875,1008,88.375,10,7,6,266,176,176,0,2,3.3,météo défavorable,17:12:00,08:43:00,10
2023-01-09,9,6,24,7,8,8,1.2,77,9.375,1015,78.375,9,4,2,122,263,122,0,2,3.3,météo défavorable,17:13:00,08:42:00,7
2023-01-10,12,5,24,6,6,11,1.8,97,8.875,1021,83.375,12,10,2,122,296,176,0,3,3.3,météo défavorable,17:15:00,08:42:00,6
2023-01-11,12,9,17,11,11,11,0.5,93,9,1017,73.875,12,10,8,266,116,116,0,3,6.9,météo défavorable,17:16:00,08:41:00,11
2023-01-12,12,9,28,9,11,12,0.7,84,10,1019,100,12,9,6,353,122,122,0,3,3.3,météo défavorable,17:17:00,08:41:00,9
2023-01-13,11,9,22,9,10,10,1.8,73,9.75,1023,73.625,11,9,6,176,116,176,0,2,8.7,météo défavorable,17:19:00,08:40:00,11
2023-01-14,13,7,30,8,9,12,0.9,84,8,1024,100,13,10,5,122,266,176,0,2,3.3,météo défavorable,17:20:00,08:39:00,7
2023-01-15,9,6,24,7,8,7,2.2,77,8.875,1013,56.75,9,6,3,353,113,116,0,2,8.7,météo défavorable,17:21:00,08:39:00,8
2023-01-16,8,4,26,6,6,6,4.9,87,8.25,1002,94.25,8,3,-0,389,266,353,0,2,3.3,météo très défavorable,17:23:00,08:38:00,5
2023-01-17,5,2,18,3,4,4,0.3,79,9.625,994,46.625,5,1,-1,371,368,113,0.1,1,8.7,météo très défavorable,17:24:00,08:37:00,3
2023-01-18,6,1,10,1,4,6,0,75,10,1005,17.125,6,0,-2,116,113,113,0,2,8.7,météo très défavorable,17:26:00,08:36:00,1
2023-01-19,6,1,10,1,4,6,0,83,9.875,1015,33.125,6,0,-1,116,179,113,0,2,6.9,météo très défavorable,17:27:00,08:36:00,1
2023-01-20,6,0,7,0,5,4,0,81,10,1027,21,6,0,-2,113,113,113,0,1,8.7,météo très défavorable,17:29:00,08:35:00,1
2023-01-21,5,1,14,1,3,4,0,91,10,1033,43.125,5,0,-2,116,116,113,0,2,6.9,météo très défavorable,17:30:00,08:34:00,2
2023-01-22,5,-1,17,-1,2,3,0,85,10,1033,28.125,5,0,-5,116,113,116,0,2,8.7,météo très défavorable,17:32:00,08:33:00,-1
2023-01-23,4,1,15,2,2,3,0,88,10,1035,93.125,4,0,-2,122,122,122,0,1,3.4,météo très défavorable,17:33:00,08:32:00,1
2023-01-24,5,-1,16,-0,3,4,0,89,10,1036,30.125,5,0,-4,116,113,113,0,1,8.7,météo très défavorable,17:35:00,08:31:00,1
2023-01-25,8,0,9,-0,6,6,0,92,10,1035,13.25,8,3,-3,116,113,113,0,2,8.7,météo très défavorable,17:37:00,08:30:00,0
2023-01-26,4,1,15,2,4,4,1.5,98,6,1025,89.125,4,4,0,266,266,266,0,2,3.4,météo très défavorable,17:38:00,08:29:00,1
2023-01-27,4,2,18,3,4,3,0,86,10,1027,73.125,4,3,-2,116,122,122,0,1,5.2,météo très défavorable,17:40:00,08:27:00,3
2023-01-28,5,0,14,0,3,4,0,82,10,1031,45.75,5,0,-4,113,116,119,0,2,6.9,météo très défavorable,17:41:00,08:26:00,1
2023-01-29,6,0,6,0,4,6,0,91,10,1031,48,6,3,-1,116,116,122,0,2,6.9,météo très défavorable,17:43:00,08:25:00,1
2023-01-30,9,5,19,5,8,6,0.2,97,10,1030,68.125,9,6,2,122,176,116,0,2,5.2,météo très défavorable,17:45:00,08:24:00,5
2023-01-31,8,2,14,2,6,7,0,87,10,1031,64.375,8,3,0,113,119,122,0,2,5.2,météo très défavorable,17:46:00,08:22:00,3
