date,type,gare
2021-01-01,bagages,Paris Gare de Lyon
2021-01-02,bagages,Paris Gare de Lyon
2021-01-02,bagages,Paris Gare de Lyon
2021-01-02,clé,Paris Gare de Lyon
2021-01-02,bagages,Paris Gare de Lyon
2021-01-02,bagages,Paris Gare de Lyon
2021-01-02,electronique,Paris Gare de Lyon
2021-01-02,bagages,Paris Gare de Lyon
2021-01-02,bagages,Paris Gare de Lyon
2021-01-02,bagages,Paris Gare de Lyon
2021-01-02,electronique,Paris Gare de Lyon
2021-01-02,electronique,Paris Gare de Lyon
2021-01-02,electronique,Paris Gare de Lyon
2021-01-02,electronique,Paris Gare de Lyon
2021-01-02,bagages,Paris Gare de Lyon
2021-01-03,bagages,Paris Gare de Lyon
2021-01-03,médical,Paris Gare de Lyon
2021-01-03,bagages,Paris Gare de Lyon
2021-01-03,bagages,Paris Gare de Lyon
2021-01-04,bagages,Paris Gare de Lyon
2021-01-04,electronique,Paris Gare de Lyon
2021-01-05,bagages,Paris Gare de Lyon
2021-01-05,clé,Paris Gare de Lyon
2021-01-05,papiers,Paris Gare de Lyon
2021-01-05,papiers,Paris Gare de Lyon
2021-01-05,papiers,Paris Gare de Lyon
2021-01-05,clé,Paris Gare de Lyon
2021-01-05,clé,Paris Gare de Lyon
2021-01-05,clé,Paris Gare de Lyon
2021-01-05,clé,Paris Gare de Lyon
2021-01-05,clé,Paris Gare de Lyon
2021-01-05,papiers,Paris Gare de Lyon
2021-01-05,papiers,Paris Gare de Lyon
2021-01-05,papiers,Paris Gare de Lyon
2021-01-05,papiers,Paris Gare de Lyon
2021-01-05,papiers,Paris Gare de Lyon
2021-01-05,clé,Paris Gare de Lyon
2021-01-05,clé,Paris Gare de Lyon
2021-01-05,clé,Paris Gare de Lyon
2021-01-05,clé,Paris Gare de Lyon
2021-01-05,bagages,Paris Gare de Lyon
2021-01-05,clé,Paris Gare de Lyon
2021-01-05,clé,Paris Gare de Lyon
2021-01-05,clé,Paris Gare de Lyon
2021-01-05,clé,Paris Gare de Lyon
2021-01-05,clé,Paris Gare de Lyon
2021-01-05,clé,Paris Gare de Lyon
2021-01-05,optique,Paris Gare de Lyon
2021-01-05,bagages,Paris Gare de Lyon
2021-01-05,bagages,Paris Gare de Lyon
2021-01-05,bagages,Paris Gare de Lyon
2021-01-05,bagages,Paris Gare de Lyon
2021-01-05,bagages,Paris Gare de Lyon
2021-01-05,bagages,Paris Gare de Lyon
2021-01-05,bagages,Paris Gare de Lyon
2021-01-05,divers,Paris Gare de Lyon
2021-01-05,bagages,Paris Gare de Lyon
2021-01-05,bagages,Paris Gare de Lyon
