id,date,type,nom_gare,year,comptage_normalise
1,2021-01-01,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
2,2021-01-02,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
3,2021-01-02,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
4,2021-01-02,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
5,2021-01-03,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
6,2021-01-03,Articles médicaux,Paris Gare de Lyon,2021,
7,2021-01-04,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
8,2021-01-04,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
9,2021-01-05,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
10,2021-01-05,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
11,2021-01-05,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
12,2021-01-05,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
13,2021-01-05,Optique,Paris Gare de Lyon,2021,
14,2021-01-05,Divers,Paris Gare de Lyon,2021,
15,2021-01-05,"Articles d enfants, de puériculture",Paris Gare de Lyon,2021,
16,2021-01-05,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
17,2021-01-06,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
18,2021-01-06,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
19,2021-01-06,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
20,2021-01-06,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
21,2021-01-07,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
22,2021-01-07,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
23,2021-01-07,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
24,2021-01-07,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
25,2021-01-07,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
26,2021-01-07,Articles médicaux,Paris Gare de Lyon,2021,
27,2021-01-07,"Vêtements, chaussures",Paris Gare de Lyon,2021,
28,2021-01-07,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,2021,
29,2021-01-07,Instruments de musique,Paris Gare de Lyon,2021,
30,2021-01-08,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
31,2021-01-08,"Bijoux, montres",Paris Gare de Lyon,2021,
32,2021-01-08,"Vêtements, chaussures",Paris Gare de Lyon,2021,
33,2021-01-08,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
34,2021-01-08,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
35,2021-01-09,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
36,2021-01-09,Divers,Paris Gare de Lyon,2021,
37,2021-01-09,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
38,2021-01-09,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
39,2021-01-09,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
40,2021-01-10,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
41,2021-01-10,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
42,2021-01-10,"Vêtements, chaussures",Paris Gare de Lyon,2021,
43,2021-01-11,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
44,2021-01-11,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
45,2021-01-11,"Articles de sport, loisirs, camping",Paris Gare de Lyon,2021,
46,2021-01-12,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
47,2021-01-12,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
48,2021-01-12,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
49,2021-01-12,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
50,2021-01-12,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
51,2021-01-13,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
52,2021-01-13,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
53,2021-01-13,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
54,2021-01-13,Optique,Paris Gare de Lyon,2021,
55,2021-01-13,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
56,2021-01-13,Instruments de musique,Paris Gare de Lyon,2021,
57,2021-01-13,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
58,2021-01-13,"Vêtements, chaussures",Paris Gare de Lyon,2021,
59,2021-01-13,Divers,Paris Gare de Lyon,2021,
60,2021-01-14,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
61,2021-01-14,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
62,2021-01-14,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
63,2021-01-15,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
64,2021-01-15,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
65,2021-01-15,Optique,Paris Gare de Lyon,2021,
66,2021-01-15,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
67,2021-01-16,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
68,2021-01-16,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
69,2021-01-17,Divers,Paris Gare de Lyon,2021,
70,2021-01-17,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
71,2021-01-18,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
72,2021-01-18,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
73,2021-01-18,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
74,2021-01-18,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
75,2021-01-19,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
76,2021-01-19,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
77,2021-01-19,Optique,Paris Gare de Lyon,2021,
78,2021-01-19,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
79,2021-01-19,"Vêtements, chaussures",Paris Gare de Lyon,2021,
80,2021-01-20,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
81,2021-01-20,"Articles de sport, loisirs, camping",Paris Gare de Lyon,2021,
82,2021-01-20,"Vêtements, chaussures",Paris Gare de Lyon,2021,
83,2021-01-20,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
84,2021-01-20,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
85,2021-01-20,Optique,Paris Gare de Lyon,2021,
86,2021-01-20,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
87,2021-01-21,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
88,2021-01-21,"Livres, articles de papéterie",Paris Gare de Lyon,2021,
89,2021-01-21,"Vêtements, chaussures",Paris Gare de Lyon,2021,
90,2021-01-21,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
91,2021-01-21,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
92,2021-01-21,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
93,2021-01-21,Optique,Paris Gare de Lyon,2021,
94,2021-01-21,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
95,2021-01-21,Articles médicaux,Paris Gare de Lyon,2021,
96,2021-01-22,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
97,2021-01-22,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
98,2021-01-22,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,2021,
99,2021-01-22,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
100,2021-01-22,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
101,2021-01-23,"Vêtements, chaussures",Paris Gare de Lyon,2021,
102,2021-01-23,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
103,2021-01-23,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
104,2021-01-23,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
105,2021-01-23,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
106,2021-01-24,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
107,2021-01-24,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
108,2021-01-24,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
109,2021-01-24,Optique,Paris Gare de Lyon,2021,
110,2021-01-24,Articles médicaux,Paris Gare de Lyon,2021,
111,2021-01-24,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
112,2021-01-25,"Livres, articles de papéterie",Paris Gare de Lyon,2021,
113,2021-01-25,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
114,2021-01-26,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
115,2021-01-26,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
116,2021-01-26,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
117,2021-01-26,Optique,Paris Gare de Lyon,2021,
118,2021-01-26,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
119,2021-01-27,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
120,2021-01-27,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
121,2021-01-27,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
122,2021-01-27,"Articles d enfants, de puériculture",Paris Gare de Lyon,2021,
123,2021-01-27,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
124,2021-01-28,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
125,2021-01-28,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
126,2021-01-28,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
127,2021-01-28,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
128,2021-01-28,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
129,2021-01-29,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
130,2021-01-29,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
131,2021-01-29,Optique,Paris Gare de Lyon,2021,
132,2021-01-30,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
133,2021-01-31,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
134,2021-01-31,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
135,2021-01-31,"Vêtements, chaussures",Paris Gare de Lyon,2021,
136,2021-01-31,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
137,2021-01-31,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
138,2021-01-31,"Bijoux, montres",Paris Gare de Lyon,2021,
139,2021-02-01,Articles médicaux,Paris Gare de Lyon,2021,
140,2021-02-01,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
141,2021-02-01,Optique,Paris Gare de Lyon,2021,
142,2021-02-01,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
143,2021-02-01,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
144,2021-02-01,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,2021,
145,2021-02-02,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
146,2021-02-02,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
147,2021-02-02,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
148,2021-02-03,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
149,2021-02-03,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
150,2021-02-03,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
151,2021-02-03,"Vêtements, chaussures",Paris Gare de Lyon,2021,
