#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2023-03-01,8,0,17,-0,6,8,0,62,10,1027,1.25,8,0,-5,113,113,113,0,2,11,météo très défavorable,19:34:00,08:33:00,0
2023-03-02,10,-1,13,-1,7,9,0,61,10,1023,7.5,10,0,-4,113,113,113,0,2,11,météo très défavorable,19:35:00,08:31:00,0
2023-03-03,10,1,18,1,8,10,0,82,10,1025,2.5,10,0,-2,113,113,113,0,3,11.1,météo très défavorable,19:37:00,08:29:00,2
2023-03-04,7,1,14,1,4,6,0,92,10,1027,63.375,7,1,-1,116,122,119,0,2,5.6,météo très défavorable,19:38:00,08:27:00,2
2023-03-05,7,5,9,6,7,7,0,56,10,1025,86.625,7,0,4,116,122,122,0,2,5.6,météo très défavorable,19:40:00,08:25:00,6
2023-03-06,8,4,13,5,7,7,0,69,10,1015,84.125,8,0,3,119,122,122,0,2,5.6,météo très défavorable,19:42:00,08:23:00,5
2023-03-07,8,3,19,3,8,8,0,78,10,1005,91.125,8,2,-0,119,122,119,0,2,5.6,météo très défavorable,19:43:00,08:21:00,4
2023-03-08,15,5,28,7,15,13,3,89,8.75,1001,97.25,15,11,3,296,176,353,0,3,5.6,météo défavorable,19:45:00,08:19:00,6
2023-03-09,15,10,23,10,14,13,0.8,76,10,1001,92,15,9,8,116,122,176,0,3,5.6,météo défavorable,19:46:00,08:17:00,10
2023-03-10,12,5,36,8,7,6,0.4,78,10,1008,95,12,7,1,353,122,122,0,2,5.7,météo défavorable,19:48:00,08:15:00,10
2023-03-11,9,2,5,2,7,9,0,80,10,1015,47.375,9,1,1,116,116,113,0,2,11.4,météo très défavorable,19:49:00,08:13:00,3
2023-03-12,16,6,19,9,13,14,0.1,86,10,1015,67.625,16,10,7,122,116,116,0,3,10.1,météo défavorable,19:51:00,08:11:00,7
2023-03-13,19,11,34,13,17,15,0.1,84,10,1009,70,19,11,11,122,113,122,0,3,8.7,météo défavorable,19:52:00,08:09:00,13
2023-03-14,11,4,32,9,9,9,0.6,67,9,1013,74.625,11,8,3,353,176,113,0,2,7.2,météo défavorable,19:54:00,08:07:00,11
2023-03-15,9,2,13,3,8,9,0,62,10,1021,48.875,9,0,-1,113,122,122,0,3,7.2,météo très défavorable,19:55:00,08:05:00,3
2023-03-16,17,7,18,7,13,16,0,57,10,1017,54,17,6,4,122,116,116,0,3,10.1,météo correcte,19:57:00,08:03:00,7
2023-03-17,16,10,22,10,15,15,0,81,10,1011,42,16,9,8,113,122,116,0,4,8.7,météo correcte,19:58:00,08:01:00,10
2023-03-18,15,10,17,10,15,15,0.3,90,10,1014,68.875,15,9,9,176,119,116,0,3,8.9,météo défavorable,20:00:00,07:59:00,10
2023-03-19,16,10,8,10,12,16,0,87,10,1020,65.625,16,9,9,119,122,113,0,3,7.6,météo défavorable,20:01:00,07:56:00,10
2023-03-20,16,8,10,8,14,16,0,86,10,1023,35,16,7,8,116,113,113,0,3,10.3,météo correcte,20:03:00,07:54:00,9
2023-03-21,15,9,21,9,12,14,0.1,62,10,1019,72.375,15,8,8,122,116,176,0,4,8.9,météo défavorable,20:04:00,07:52:00,10
2023-03-22,11,10,24,10,11,11,1.3,86,7,1012,96.75,11,9,7,122,266,176,0,3,6.3,météo défavorable,20:06:00,07:50:00,10
2023-03-23,13,11,20,11,12,13,0.8,90,7,1008,100,13,11,9,122,266,266,0,3,6.3,météo défavorable,20:07:00,07:48:00,11
2023-03-24,16,10,28,11,14,14,0.7,80,8.875,1009,86.125,16,11,8,176,119,353,0,3,7.6,météo défavorable,20:09:00,07:46:00,13
2023-03-25,15,8,26,9,14,14,0.4,67,10,1014,78,15,7,5,122,116,176,0,3,9,météo défavorable,20:10:00,07:44:00,8
2023-03-26,11,6,26,8,11,8,2.8,83,8,1012,99.375,11,7,4,353,266,176,0,2,6.4,météo défavorable,20:12:00,07:42:00,9
2023-03-27,10,5,13,6,9,10,0,60,10,1028,63.5,10,0,4,122,119,113,0,2,9,météo défavorable,20:13:00,07:40:00,6
2023-03-28,13,3,17,3,9,12,0,65,10,1029,33.75,13,0,0,116,116,116,0,3,11.6,météo correcte,20:15:00,07:38:00,4
2023-03-29,20,9,22,9,16,18,0,67,10,1019,44.875,20,10,7,116,116,116,0,4,11.6,météo favorable,20:16:00,07:36:00,10
2023-03-30,17,12,23,13,15,17,0.3,78,9.75,1013,67.125,17,10,11,176,122,176,0,4,7.7,météo défavorable,20:18:00,07:34:00,14
2023-03-31,12,10,35,11,12,12,2.2,84,7,1008,100,12,9,8,266,353,353,0,3,6.4,météo défavorable,20:19:00,07:31:00,11
