#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2022-06-01,23,10,8,11,20,22,0,78,10,1019,9.75,24,8,11,113,113,113,0,5,15.9,météo favorable,21:46:00,05:52:00,10
2022-06-02,24,11,16,11,22,23,0,74,10,1020,13.5,25,11,9,113,116,113,0,5,16,météo favorable,21:47:00,05:51:00,11
2022-06-03,25,14,8,14,24,25,0.1,71,10,1017,27.75,26,16,14,113,113,116,0,6,16,météo favorable,21:48:00,05:51:00,14
2022-06-04,29,16,13,16,28,28,2,94,7.5,1017,47,29,17,16,143,113,200,0,5,15.6,météo favorable,21:49:00,05:50:00,16
2022-06-05,25,17,15,17,25,23,3.7,95,9.75,1017,68,26,17,17,386,200,386,0,5,13.8,météo défavorable,21:50:00,05:50:00,18
2022-06-06,23,13,15,13,21,22,0,84,10,1019,35.5,24,12,13,113,116,116,0,5,16,météo favorable,21:50:00,05:49:00,14
2022-06-07,22,14,15,14,20,19,0.6,94,9.875,1017,78.5,24,16,14,353,116,176,0,4,13.8,météo défavorable,21:51:00,05:49:00,15
2022-06-08,22,14,19,14,16,19,3,97,9.875,1015,70,25,15,12,122,353,176,0,5,12.9,météo défavorable,21:52:00,05:48:00,14
2022-06-09,20,12,21,12,18,19,0.8,86,10,1020,46.375,20,10,10,116,353,176,0,5,13.8,météo correcte,21:53:00,05:48:00,12
2022-06-10,29,14,13,14,24,27,0,82,10,1023,36.625,29,14,14,113,116,113,0,5,16.1,météo favorable,21:53:00,05:48:00,15
2022-06-11,28,16,9,16,25,25,0,85,10,1024,24.25,28,15,16,113,119,116,0,6,16.1,météo correcte,21:54:00,05:47:00,16
2022-06-12,27,13,12,13,25,23,0,73,10,1026,22.125,26,10,12,116,113,122,0,6,16.1,météo favorable,21:54:00,05:47:00,13
2022-06-13,26,12,10,12,22,25,0,79,10,1026,0.875,26,11,12,113,113,113,0,6,16.1,météo favorable,21:55:00,05:47:00,12
2022-06-14,28,13,13,13,23,27,0,72,10,1023,23.25,27,11,12,116,122,113,0,6,16.1,météo correcte,21:56:00,05:47:00,13
2022-06-15,33,15,9,15,30,31,0,71,10,1018,6.75,32,14,15,113,113,113,0,7,16.1,météo idéale,21:56:00,05:47:00,15
2022-06-16,31,17,11,17,29,28,0,74,10,1022,5.25,30,14,17,113,113,113,0,7,16.1,météo idéale,21:56:00,05:47:00,17
2022-06-17,36,18,12,18,33,35,0,65,10,1023,3.25,36,14,18,113,113,113,0,7,16.1,météo favorable,21:57:00,05:47:00,18
2022-06-18,42,23,11,23,39,40,0,52,10,1021,4.75,42,14,23,113,113,113,0,8,16.1,météo correcte,21:57:00,05:47:00,23
2022-06-19,33,19,12,19,32,31,0,77,10,1011,12,34,18,19,113,113,113,0,7,16.1,météo idéale,21:57:00,05:47:00,22
2022-06-20,27,13,15,13,23,26,0.4,83,10,1018,45.25,26,15,12,119,113,113,0,5,15.6,météo favorable,21:58:00,05:47:00,14
2022-06-21,29,15,11,15,24,25,0,64,10,1016,23.375,30,16,14,116,113,119,0,6,16.1,météo idéale,21:58:00,05:47:00,15
2022-06-22,30,17,8,17,28,29,0.1,81,10,1011,28,30,17,17,113,113,116,0,6,16.1,météo idéale,21:58:00,05:47:00,17
2022-06-23,31,18,11,18,29,30,0.1,84,9.875,1011,31.375,30,16,18,113,116,113,0,6,16.1,météo favorable,21:58:00,05:48:00,19
2022-06-24,24,16,21,16,23,23,0.5,95,9.875,1010,64,25,16,16,353,176,116,0,5,14.7,météo correcte,21:58:00,05:48:00,17
2022-06-25,19,15,15,16,19,17,1.1,92,9,1012,68.75,19,16,16,119,122,353,0,5,13.9,météo défavorable,21:58:00,05:48:00,16
2022-06-26,21,12,9,12,20,21,0,84,10,1017,35,24,12,12,113,116,116,0,5,16.1,météo favorable,21:58:00,05:49:00,12
2022-06-27,25,15,13,15,21,24,0,85,10,1021,30.625,24,13,14,119,113,113,0,6,16.1,météo favorable,21:58:00,05:49:00,15
2022-06-28,29,13,11,13,26,28,0,71,10,1022,9.5,28,9,13,113,113,113,0,6,16.1,météo favorable,21:58:00,05:50:00,13
2022-06-29,28,16,10,16,24,28,0,59,10,1016,12.5,27,10,16,113,113,113,0,6,16.1,météo idéale,21:58:00,05:50:00,17
2022-06-30,18,13,15,13,14,18,5.8,96,7.25,1016,73.125,18,14,13,296,296,176,0,3,12.9,météo défavorable,21:58:00,05:51:00,15
