#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2023-06-01,27,13,21,13,26,25,0,89,10,1020,8.375,27,14,12,116,113,113,0,5,15.9,météo favorable,21:46:00,05:52:00,14
2023-06-02,25,9,19,9,23,23,0,84,10,1021,7.25,25,11,7,113,113,113,0,5,16,météo favorable,21:47:00,05:51:00,10
2023-06-03,27,10,19,11,25,25,0,86,10,1019,7.25,26,12,10,113,113,113,0,5,16,météo favorable,21:48:00,05:51:00,11
2023-06-04,26,11,19,11,26,25,0,66,10,1020,10.625,26,11,10,113,113,116,0,5,16,météo favorable,21:49:00,05:50:00,12
2023-06-05,26,11,18,12,24,24,0,79,10,1020,11.125,26,11,10,113,113,116,0,5,16,météo favorable,21:49:00,05:50:00,12
2023-06-06,25,11,17,12,24,24,0,84,10,1019,23,26,13,11,113,113,113,0,5,16,météo favorable,21:50:00,05:49:00,12
2023-06-07,27,13,18,14,25,25,0,83,10,1019,19.5,26,13,13,113,113,116,0,6,16,météo favorable,21:51:00,05:49:00,14
2023-06-08,28,13,14,14,25,26,0,85,10,1017,14.625,27,14,13,113,113,116,0,6,16,météo favorable,21:52:00,05:48:00,14
2023-06-09,26,16,15,17,26,24,0,76,10,1012,43.75,26,18,17,116,116,116,0,6,16,météo favorable,21:52:00,05:48:00,17
2023-06-10,25,18,10,18,23,24,0.9,88,9.875,1013,58.5,26,18,18,353,116,176,0,5,15.6,météo correcte,21:53:00,05:48:00,18
2023-06-11,23,18,10,19,22,23,1.6,93,9.875,1014,59.375,25,18,19,353,353,176,0,5,14.7,météo correcte,21:54:00,05:47:00,19
2023-06-12,29,16,16,16,28,27,1.7,96,9,1014,39.75,28,16,16,353,113,113,0,5,16.1,météo favorable,21:54:00,05:47:00,16
2023-06-13,27,16,21,16,26,25,0,66,10,1012,9.875,27,12,16,113,113,113,0,6,16.1,météo idéale,21:55:00,05:47:00,17
2023-06-14,29,15,17,16,29,26,0,65,10,1017,11.75,29,13,16,113,113,113,0,6,16.1,météo idéale,21:55:00,05:47:00,16
2023-06-15,30,17,10,18,27,27,0,60,10,1019,15.125,29,11,18,113,113,113,0,6,16.1,météo idéale,21:56:00,05:47:00,17
2023-06-16,31,16,13,16,30,29,0,64,10,1019,8.25,30,11,16,113,113,113,0,6,16.1,météo idéale,21:56:00,05:47:00,16
2023-06-17,31,17,8,18,30,27,0,58,10,1017,26.5,30,13,18,113,113,116,0,6,16.1,météo idéale,21:57:00,05:47:00,18
2023-06-18,29,18,14,19,24,20,4.8,88,9.625,1012,55.625,29,20,19,353,116,299,0,6,14.7,météo correcte,21:57:00,05:47:00,20
2023-06-19,29,16,11,16,29,25,0.1,86,10,1013,62.25,29,19,16,116,113,176,0,5,14.7,météo correcte,21:57:00,05:47:00,17
2023-06-20,26,17,16,18,26,24,1.7,97,6.75,1012,74,27,20,18,143,119,176,0,5,12.1,météo défavorable,21:58:00,05:47:00,17
2023-06-21,28,17,4,18,27,27,1.2,92,9.625,1017,53.875,28,18,18,113,116,200,0,5,14.7,météo favorable,21:58:00,05:47:00,17
2023-06-22,20,15,26,17,16,20,12.9,96,7.75,1022,71.75,20,16,13,353,308,263,0,5,13.9,météo défavorable,21:58:00,05:47:00,17
2023-06-23,27,14,9,14,25,26,0,85,10,1026,9.125,27,14,14,113,113,113,0,6,16.1,météo favorable,21:58:00,05:48:00,14
2023-06-24,31,15,10,16,29,29,0,79,10,1026,1.875,30,14,16,113,113,113,0,6,16.1,météo idéale,21:58:00,05:48:00,16
2023-06-25,33,18,16,18,33,31,0,69,10,1020,6.125,33,16,18,113,113,113,0,7,16.1,météo idéale,21:58:00,05:48:00,18
2023-06-26,24,16,14,16,23,23,0,79,10,1023,15.625,25,14,16,113,116,113,0,5,16.1,météo favorable,21:58:00,05:49:00,17
2023-06-27,25,14,10,14,23,24,0,74,10,1024,30.125,25,12,15,113,116,116,0,5,16.1,météo favorable,21:58:00,05:49:00,14
2023-06-28,27,14,11,15,25,26,0,73,10,1021,37.75,27,15,15,113,119,116,0,6,16.1,météo correcte,21:58:00,05:49:00,15
2023-06-29,26,16,6,19,24,19,2.3,75,10,1018,72.25,27,17,19,119,116,353,0,5,13.8,météo défavorable,21:58:00,05:50:00,19
2023-06-30,23,12,17,13,22,19,0,79,10,1018,37.875,24,12,13,116,116,122,0,5,16.1,météo favorable,21:58:00,05:51:00,13
