date,type,gare,type_mapped
2021-01-01,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-02,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-02,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-02,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-03,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-03,Articles médicaux,Paris Gare de Lyon,médical
2021-01-04,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-04,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-05,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-05,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-05,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-05,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-01-05,Optique,Paris Gare de Lyon,optique
2021-01-05,Divers,Paris Gare de Lyon,divers
2021-01-05,"Articles d enfants, de puériculture",Paris Gare de Lyon,articles enfants
2021-01-05,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-06,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-06,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-06,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-06,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-07,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-07,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-07,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-07,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-07,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-01-07,Articles médicaux,Paris Gare de Lyon,médical
2021-01-07,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-01-07,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,velo/trottinette
2021-01-07,Instruments de musique,Paris Gare de Lyon,article musique
2021-01-08,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-08,"Bijoux, montres",Paris Gare de Lyon,bijoux/montres
2021-01-08,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-01-08,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-08,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-01-09,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-09,Divers,Paris Gare de Lyon,divers
2021-01-09,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-09,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-09,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-10,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-10,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-10,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-01-11,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-11,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-11,"Articles de sport, loisirs, camping",Paris Gare de Lyon,sport/loisirs
2021-01-12,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-01-12,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-12,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-12,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-12,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-13,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-13,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-13,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-01-13,Optique,Paris Gare de Lyon,optique
2021-01-13,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-13,Instruments de musique,Paris Gare de Lyon,article musique
2021-01-13,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-13,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-01-13,Divers,Paris Gare de Lyon,divers
2021-01-14,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-14,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-14,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-15,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-15,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-15,Optique,Paris Gare de Lyon,optique
2021-01-15,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-16,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-16,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-17,Divers,Paris Gare de Lyon,divers
2021-01-17,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-18,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-18,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-18,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-18,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-19,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-19,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-19,Optique,Paris Gare de Lyon,optique
2021-01-19,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-19,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-01-20,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-20,"Articles de sport, loisirs, camping",Paris Gare de Lyon,sport/loisirs
2021-01-20,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-01-20,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-20,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-01-20,Optique,Paris Gare de Lyon,optique
2021-01-20,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-21,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-21,"Livres, articles de papéterie",Paris Gare de Lyon,livres
2021-01-21,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-01-21,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-21,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-21,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-21,Optique,Paris Gare de Lyon,optique
2021-01-21,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-01-21,Articles médicaux,Paris Gare de Lyon,médical
2021-01-22,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-22,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-22,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,velo/trottinette
2021-01-22,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-22,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-23,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-01-23,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-23,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-23,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-23,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-24,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-01-24,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-24,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-24,Optique,Paris Gare de Lyon,optique
2021-01-24,Articles médicaux,Paris Gare de Lyon,médical
2021-01-24,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-25,"Livres, articles de papéterie",Paris Gare de Lyon,livres
2021-01-25,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-26,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-26,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-26,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-26,Optique,Paris Gare de Lyon,optique
2021-01-26,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-27,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-27,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-27,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-27,"Articles d enfants, de puériculture",Paris Gare de Lyon,articles enfants
2021-01-27,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-28,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-28,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-28,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-28,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-01-28,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-29,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-29,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-29,Optique,Paris Gare de Lyon,optique
2021-01-30,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-31,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-31,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-31,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-01-31,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-01-31,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-31,"Bijoux, montres",Paris Gare de Lyon,bijoux/montres
2021-02-01,Articles médicaux,Paris Gare de Lyon,médical
2021-02-01,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
