date,type,nom_gare,comptage_normalisé
2021-01-01,,Paris Gare de Lyon,0.04
2021-01-02,,Paris Gare de Lyon,0.04
2021-01-02,,Paris Gare de Lyon,0.04
2021-01-02,,Paris Gare de Lyon,0.04
2021-01-03,,Paris Gare de Lyon,0.04
2021-01-03,,Paris Gare de Lyon,0.04
2021-01-04,,Paris Gare de Lyon,0.04
2021-01-04,,Paris Gare de Lyon,0.04
2021-01-05,,Paris Gare de Lyon,0.04
2021-01-05,,Paris Gare de Lyon,0.04
2021-01-05,,Paris Gare de Lyon,0.04
2021-01-05,,Paris Gare de Lyon,0.04
2021-01-05,,Paris Gare de Lyon,0.04
2021-01-05,,Paris Gare de Lyon,0.04
2021-01-05,,Paris Gare de Lyon,0.04
2021-01-06,,Paris Gare de Lyon,0.04
2021-01-06,,Paris Gare de Lyon,0.04
2021-01-06,,Paris Gare de Lyon,0.04
2021-01-06,,Paris Gare de Lyon,0.04
2021-01-07,,Paris Gare de Lyon,0.04
2021-01-07,,Paris Gare de Lyon,0.04
2021-01-07,,Paris Gare de Lyon,0.04
2021-01-07,,Paris Gare de Lyon,0.04
2021-01-07,,Paris Gare de Lyon,0.04
2021-01-07,,Paris Gare de Lyon,0.04
2021-01-07,,Paris Gare de Lyon,0.04
2021-01-07,,Paris Gare de Lyon,0.04
2021-01-08,,Paris Gare de Lyon,0.04
2021-01-08,,Paris Gare de Lyon,0.04
2021-01-08,,Paris Gare de Lyon,0.04
2021-01-08,,Paris Gare de Lyon,0.04
2021-01-08,,Paris Gare de Lyon,0.04
2021-01-09,,Paris Gare de Lyon,0.04
2021-01-09,,Paris Gare de Lyon,0.04
2021-01-09,,Paris Gare de Lyon,0.04
2021-01-09,,Paris Gare de Lyon,0.04
2021-01-09,,Paris Gare de Lyon,0.04
2021-01-10,,Paris Gare de Lyon,0.04
2021-01-10,,Paris Gare de Lyon,0.04
2021-01-10,,Paris Gare de Lyon,0.04
2021-01-11,,Paris Gare de Lyon,0.04
2021-01-11,,Paris Gare de Lyon,0.04
2021-01-11,,Paris Gare de Lyon,0.04
2021-01-12,,Paris Gare de Lyon,0.04
2021-01-12,,Paris Gare de Lyon,0.04
2021-01-12,,Paris Gare de Lyon,0.04
2021-01-12,,Paris Gare de Lyon,0.04
