#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2023-11-01,14,12,24,12,12,12,0.5,84,9,1007,71.625,14,10,9,122,266,113,0,3,5.4,météo défavorable,17:31:00,07:37:00,12
2023-11-02,13,9,39,13,13,11,1.3,70,9.875,992,62.125,13,8,8,113,122,176,0,3,5.4,météo correcte,17:29:00,07:39:00,11
2023-11-03,12,7,21,7,10,11,0.4,80,9,990,49.375,12,7,4,113,119,266,0,3,5.4,météo défavorable,17:28:00,07:40:00,7
2023-11-04,13,8,35,8,10,12,1.2,85,8,992,84.875,13,8,5,119,266,176,0,3,3.7,météo défavorable,17:26:00,07:42:00,9
2023-11-05,13,10,32,11,13,12,1.7,79,9.25,997,78.25,13,8,8,296,176,116,0,3,5.4,météo défavorable,17:25:00,07:44:00,11
2023-11-06,14,9,22,9,13,11,0.3,83,9.375,1009,58.75,14,7,7,116,176,116,0,4,3.7,météo correcte,17:23:00,07:45:00,10
2023-11-07,13,8,20,8,11,11,0.1,85,10,1016,44.125,13,6,6,113,113,113,0,2,7,météo correcte,17:22:00,07:47:00,9
2023-11-08,13,8,25,8,12,12,2.5,85,9.75,1017,67,13,9,6,122,116,296,0,4,7,météo défavorable,17:20:00,07:48:00,8
2023-11-09,12,8,23,10,12,11,0.4,74,8.375,1006,84.375,12,8,8,119,116,176,0,3,5.3,météo défavorable,17:19:00,07:50:00,10
2023-11-10,11,7,26,7,10,11,2.2,80,8.875,1004,69.5,11,6,3,113,176,353,0,2,3.6,météo défavorable,17:17:00,07:51:00,8
2023-11-11,12,6,13,7,9,9,0.2,83,10,1010,50.125,12,5,4,116,176,113,0,2,5.3,météo défavorable,17:16:00,07:53:00,7
2023-11-12,13,7,24,8,12,12,2.8,86,8.75,1007,92.625,13,11,5,296,176,176,0,3,3.6,météo défavorable,17:15:00,07:55:00,8
2023-11-13,17,12,31,15,17,15,0.4,82,9,1012,90.5,17,14,13,176,266,176,0,3,3.6,météo défavorable,17:13:00,07:56:00,13
2023-11-14,14,11,28,12,12,13,2.8,86,9.75,1014,71.75,14,10,10,296,119,176,0,4,3.6,météo défavorable,17:12:00,07:58:00,12
2023-11-15,13,9,20,11,13,11,0.1,78,10,1025,77.875,13,8,9,176,176,116,0,3,3.6,météo défavorable,17:11:00,07:59:00,11
2023-11-16,13,9,29,10,11,12,1.9,90,8.875,1020,86.375,13,9,6,266,353,176,0,4,3.4,météo défavorable,17:10:00,08:01:00,10
2023-11-17,11,8,15,8,10,9,0.3,87,9,1025,56,11,6,6,266,176,116,0,2,5.2,météo défavorable,17:08:00,08:02:00,8
2023-11-18,14,9,20,9,10,13,2.2,84,6.875,1025,93.75,14,12,6,266,296,266,0,4,3.4,météo défavorable,17:07:00,08:04:00,9
2023-11-19,15,12,23,13,14,13,0.3,87,9,1018,63.375,15,13,11,119,113,176,0,3,6.9,météo correcte,17:06:00,08:05:00,14
2023-11-20,12,10,26,10,12,11,0.6,82,9,1017,86.75,12,8,8,122,116,176,0,3,5.1,météo défavorable,17:05:00,08:07:00,12
2023-11-21,13,8,12,8,10,10,0.3,91,9.875,1025,75.25,13,8,8,116,176,116,0,2,3.4,météo défavorable,17:04:00,08:08:00,8
2023-11-22,10,6,14,7,8,8,0,80,10,1031,28,10,5,4,113,113,116,0,2,8.7,météo défavorable,17:03:00,08:10:00,8
2023-11-23,12,7,10,8,11,12,0,85,10,1031,79.625,12,10,8,119,122,176,0,3,3.3,météo défavorable,17:02:00,08:11:00,8
2023-11-24,11,5,22,11,11,7,0.1,85,10,1024,57.375,11,9,6,122,116,113,0,3,6.9,météo défavorable,17:01:00,08:12:00,11
2023-11-25,8,4,18,4,7,6,0,79,10,1021,56.5,8,1,1,116,176,176,0,3,5.1,météo très défavorable,17:01:00,08:14:00,4
2023-11-26,7,4,10,4,6,6,0,76,10,1021,58,7,1,4,119,122,113,0,3,5.1,météo très défavorable,17:00:00,08:15:00,4
2023-11-27,9,5,20,5,6,9,4.4,92,7.625,1014,100,9,7,1,296,296,353,0,2,3.2,météo très défavorable,16:59:00,08:17:00,5
2023-11-28,8,4,13,6,7,6,0.5,85,9,1014,66.875,8,5,3,176,116,116,0,2,6.9,météo très défavorable,16:58:00,08:18:00,7
2023-11-29,7,4,14,4,7,6,0,83,10,1012,64.375,7,2,2,176,116,116,0,2,8.4,météo très défavorable,16:58:00,08:19:00,5
2023-11-30,5,3,12,4,5,4,0,86,10,1003,87.5,5,2,0,116,122,176,0,1,5,météo très défavorable,16:57:00,08:21:00,5
