#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2023-12-01,5,0,15,3,4,2,0,80,10,1008,45.25,5,3,-2,119,113,113,0,1,8,météo très défavorable,16:57:00,08:22:00,3
2023-12-02,4,-1,10,-1,2,2,0,76,10,1021,22.125,4,0,-5,116,116,113,0,2,8,météo très défavorable,16:56:00,08:23:00,-1
2023-12-03,4,0,19,0,2,4,0,58,10,1021,54.375,4,0,-4,116,122,122,0,2,1,météo très défavorable,16:56:00,08:24:00,0
2023-12-04,8,2,25,3,5,8,2.4,94,8.875,1012,90.625,8,6,-2,296,266,176,0,2,1,météo très défavorable,16:55:00,08:26:00,4
2023-12-05,7,6,25,7,7,7,1.8,87,7.875,1013,96.875,7,5,3,266,176,176,0,2,1,météo très défavorable,16:55:00,08:27:00,7
2023-12-06,7,4,6,5,7,6,0.1,78,10,1021,87.375,7,4,4,176,122,116,0,2,1,météo très défavorable,16:54:00,08:28:00,6
2023-12-07,7,4,17,5,6,7,0.4,77,8,1020,68,7,4,1,116,113,266,0,2,8,météo très défavorable,16:54:00,08:29:00,5
2023-12-08,10,7,12,7,9,8,0.1,96,7,1015,61.625,10,6,5,143,116,116,0,2,8,météo défavorable,16:54:00,08:30:00,7
2023-12-09,13,7,33,7,10,13,5.6,94,8.5,1014,75.625,13,11,5,122,296,176,0,3,1,météo défavorable,16:54:00,08:31:00,7
2023-12-10,12,7,23,8,9,11,2.9,86,9.75,1017,65.75,12,11,5,116,116,176,0,2,4,météo défavorable,16:54:00,08:32:00,9
2023-12-11,13,10,18,12,12,10,0,82,9,1010,46.375,13,10,9,113,116,176,0,4,8,météo correcte,16:54:00,08:33:00,12
2023-12-12,12,10,20,10,12,11,0.9,99,6.5,1011,91.25,12,10,9,353,119,353,0,3,1,météo défavorable,16:54:00,08:34:00,10
2023-12-13,11,8,15,10,10,9,0.9,83,9,1009,90.5,11,6,7,176,122,353,0,2,1,météo défavorable,16:54:00,08:35:00,10
2023-12-14,8,7,19,8,8,7,0,81,10,1029,90.875,8,6,5,122,122,122,0,2,2,météo très défavorable,16:54:00,08:36:00,8
2023-12-15,10,6,8,7,9,8,0,93,10,1041,49.125,10,6,5,176,113,113,0,2,8,météo défavorable,16:54:00,08:37:00,8
2023-12-16,9,4,3,5,8,7,0,89,10,1043,17.375,9,4,4,113,113,113,0,2,8,météo très défavorable,16:54:00,08:38:00,5
2023-12-17,9,4,7,5,8,7,0,86,10,1041,0.125,9,3,3,113,113,113,0,3,8,météo très défavorable,16:54:00,08:38:00,5
2023-12-18,9,4,10,4,7,6,0,73,10,1036,5.125,9,1,2,113,113,113,0,3,8,météo très défavorable,16:55:00,08:39:00,5
2023-12-19,10,4,20,4,8,9,0.3,93,9,1032,64.375,10,8,1,116,122,122,0,3,4,météo très défavorable,16:55:00,08:40:00,4
2023-12-20,9,5,14,6,7,8,0.4,83,9,1024,71,9,8,2,113,122,176,0,2,3,météo très défavorable,16:55:00,08:40:00,8
2023-12-21,12,9,26,10,11,12,0,88,10,1018,100,12,9,8,176,176,122,0,3,1,météo défavorable,16:56:00,08:41:00,10
2023-12-22,12,9,28,11,11,10,0.3,83,10,1021,92.625,12,8,8,176,176,176,0,3,1,météo défavorable,16:56:00,08:41:00,10
2023-12-23,11,7,20,7,10,10,0,88,10,1021,93.75,11,7,5,119,176,176,0,2,1,météo défavorable,16:57:00,08:42:00,9
2023-12-24,12,8,20,8,10,12,0,84,10,1020,58.625,12,8,5,116,119,119,0,4,2,météo défavorable,16:58:00,08:42:00,9
2023-12-25,12,10,21,10,12,12,0.1,81,10,1016,94.875,12,9,8,122,122,122,0,3,1,météo défavorable,16:58:00,08:43:00,10
2023-12-26,12,10,19,11,11,11,0.2,84,10,1021,96.25,12,9,8,176,122,176,0,3,1,météo défavorable,16:59:00,08:43:00,10
2023-12-27,11,8,17,8,9,10,0,79,10,1021,41.625,11,7,6,122,113,113,0,2,7,météo défavorable,17:00:00,08:43:00,9
2023-12-28,12,9,21,10,11,11,0,82,10,1018,61,12,7,7,113,113,116,0,3,5,météo défavorable,17:00:00,08:44:00,10
2023-12-29,11,9,27,10,10,11,0.6,79,9,1017,86,11,8,7,122,266,353,0,3,1,météo défavorable,17:01:00,08:44:00,9
2023-12-30,11,7,21,7,11,10,0,90,10,1017,55,11,7,5,116,119,116,0,2,5,météo défavorable,17:02:00,08:44:00,9
2023-12-31,10,8,32,10,9,9,2.3,83,8.875,1006,81.375,10,7,5,296,116,176,0,2,3,météo défavorable,17:03:00,08:44:00,10
